id	family	authority_key	current_source_evidence	source_marker	source_marker_count	live_consumer_evidence	consumer_marker	consumer_marker_count	effect	target_authority	status
CFG-QOS-002	NAKAMOTO_HOCON_QOS	NAKAMOTO_RECENT_ADMIT_CAP	modules/node-shared/src/main/resources/application.conf:354	NAKAMOTO_RECENT_ADMIT_CAP	2	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1324	admissionsCap = sharedCfg.nakamoto.recentAdmitCap.value	1	Bounds local recent-admission dedup state	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-003	NAKAMOTO_HOCON_RECOVERY	NAKAMOTO_REBOOTSTRAP_ENABLED	modules/node-shared/src/main/resources/application.conf:367	NAKAMOTO_REBOOTSTRAP_ENABLED	3	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:2275	enabled = sharedCfg.nakamoto.rebootstrapEnabled	1	Enables the current receiver-local heuristic finality and state reset path; target recovery must reconstruct authenticated history	LOCAL_RECOVERY_POLICY	OPEN_RECOVERY_AUTHORITY
CFG-GL0-010	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_BAND_DENSITY_REORG_ENABLED	modules/node-shared/src/main/resources/application.conf:380	NAKAMOTO_BAND_DENSITY_REORG_ENABLED	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:971	bandDensityReorgEnabled = sharedCfg.nakamoto.bandDensityReorgEnabled	2	Locally selects incompatible transitional fork-choice paths; target removes the flag and applies unconditional maxvalid-tk or maxvalid-bg without a k1 or k2 floor	ACTIVE_ERA_PROTOCOL_RULE	OPEN_CONSENSUS_AUTHORITY
CFG-QOS-004	NAKAMOTO_HOCON_QOS	NAKAMOTO_CHANGESET_RING_DEPTH	modules/node-shared/src/main/resources/application.conf:396	NAKAMOTO_CHANGESET_RING_DEPTH	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1886	changesetRingDepth = sharedCfg.nakamoto.changesetRingDepth.value	1	Bounds finalized changeset service history and forces full-state fallback on misses	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-005	NAKAMOTO_HOCON_QOS	NAKAMOTO_STAGING_ACCUMULATORS_CAP	modules/node-shared/src/main/resources/application.conf:398	NAKAMOTO_STAGING_ACCUMULATORS_CAP	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:785	stagingAccumulatorsCap = sharedCfg.nakamoto.stagingAccumulatorsCap.value	1	Bounds unfinalized accumulator staging and can force recovery transport	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-006	NAKAMOTO_HOCON_QOS	NAKAMOTO_PINNED_BACKFILL_MAX_PEERS	modules/node-shared/src/main/resources/application.conf:411	NAKAMOTO_PINNED_BACKFILL_MAX_PEERS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:613	sharedCfg.nakamoto.pinnedBackfillMaxPeers.value	1	Controls bounded peer attempts for exact-root pinned-state recovery	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-007	NAKAMOTO_HOCON_QOS	NAKAMOTO_PINNED_BACKFILL_PER_PEER_TIMEOUT	modules/node-shared/src/main/resources/application.conf:413	NAKAMOTO_PINNED_BACKFILL_PER_PEER_TIMEOUT	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:614	sharedCfg.nakamoto.pinnedBackfillPerPeerTimeout	1	Controls timeout for verified pinned-state recovery attempts	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-008	NAKAMOTO_HOCON_STALE	NAKAMOTO_COMMITMENT_SMT_VERSION_RETENTION	modules/node-shared/src/main/resources/application.conf:422	NAKAMOTO_COMMITMENT_SMT_VERSION_RETENTION	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/config/types.scala:315	versionRootRetention: PosInt	1	Is decoded but the live GL0 historical commitment SMT is currently unwired	REMOVE_UNUSED	STALE_UNUSED
CFG-OBS-001	NAKAMOTO_HOCON_OBSERVABILITY	NAKAMOTO_LOCAL_EVENTS_ENABLED	modules/node-shared/src/main/resources/application.conf:432	NAKAMOTO_LOCAL_EVENTS_ENABLED	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:540	if (!localEventsCfg.enabled)	1	Enables only the local event service	LOCAL_OBSERVABILITY	LOCAL_QOS_ONLY
CFG-OBS-002	NAKAMOTO_HOCON_OBSERVABILITY	NAKAMOTO_LOCAL_EVENTS_BIND	modules/node-shared/src/main/resources/application.conf:437	NAKAMOTO_LOCAL_EVENTS_BIND	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:559	bindAddress = localEventsCfg.bindAddress	1	Changes only the local event-service bind address	LOCAL_OBSERVABILITY	LOCAL_QOS_ONLY
CFG-OBS-003	NAKAMOTO_HOCON_OBSERVABILITY	NAKAMOTO_LOCAL_EVENTS_PORT	modules/node-shared/src/main/resources/application.conf:443	NAKAMOTO_LOCAL_EVENTS_PORT	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:560	port = localEventsCfg.port.value	1	Changes only the local event-service port	LOCAL_OBSERVABILITY	LOCAL_QOS_ONLY
CFG-OBS-004	NAKAMOTO_HOCON_OBSERVABILITY	NAKAMOTO_LOCAL_EVENTS_MAX_QUEUED	modules/node-shared/src/main/resources/application.conf:448	NAKAMOTO_LOCAL_EVENTS_MAX_QUEUED	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:551	maxQueuedPerSubscriber = localEventsCfg.maxQueuedPerSubscriber	1	Bounds local subscriber queues	LOCAL_OBSERVABILITY	LOCAL_QOS_ONLY
CFG-OBS-005	NAKAMOTO_HOCON_OBSERVABILITY	NAKAMOTO_LOCAL_EVENTS_BUFFER	modules/node-shared/src/main/resources/application.conf:452	NAKAMOTO_LOCAL_EVENTS_BUFFER	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:552	publisherBufferSize = localEventsCfg.publisherBufferSize	1	Bounds the local event publisher buffer	LOCAL_OBSERVABILITY	LOCAL_QOS_ONLY
CFG-OBS-006	NAKAMOTO_HOCON_OBSERVABILITY	NAKAMOTO_LOCAL_EVENTS_SHUTDOWN_GRACE	modules/node-shared/src/main/resources/application.conf:456	NAKAMOTO_LOCAL_EVENTS_SHUTDOWN_GRACE	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:561	shutdownGraceSeconds = localEventsCfg.shutdownGraceSeconds.value	1	Changes only local event-service shutdown timing	LOCAL_OBSERVABILITY	LOCAL_QOS_ONLY
CFG-SHARD-001	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_COMMITTEE_K_DRAW	modules/node-shared/src/main/resources/application.conf:475	NAKAMOTO_COMMITTEE_K_DRAW	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1080	committeeKDraw = sharedCfg.nakamoto.committee.kDraw	1	Changes admission and execution committee membership thresholds	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-SHARD-002	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_COMMITTEE_K_QUORUM	modules/node-shared/src/main/resources/application.conf:477	NAKAMOTO_COMMITTEE_K_QUORUM	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1081	committeeKQuorum = sharedCfg.nakamoto.committee.kQuorum	1	Changes binary admission and execution-certificate validity	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-SHARD-003	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_NUM_SHARDS	modules/node-shared/src/main/resources/application.conf:491	NAKAMOTO_NUM_SHARDS	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiring.scala:485	if (cfg.numShards <= 1)	1	Changes metagraph assignment and currently disables execution sharding at one shard	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-QOS-009	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_SHARD_RETAINED_CHECKPOINTS	modules/node-shared/src/main/resources/application.conf:497	NAKAMOTO_SHARD_RETAINED_CHECKPOINTS	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiring.scala:546	_.chainStore.getByHash(parentHash)	1	Bounds the parent lookup store so local eviction can make the duty validator reject a checkpoint whose parent another node retains; target missing history defers into authenticated recovery	AUTHENTICATED_SHARD_HISTORY_RECOVERY	OPEN_CONSENSUS_AUTHORITY
CFG-QOS-010	NAKAMOTO_HOCON_QOS	NAKAMOTO_SHARD_BINARY_BUFFER_CAP	modules/node-shared/src/main/resources/application.conf:507	NAKAMOTO_SHARD_BINARY_BUFFER_CAP	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiring.scala:592	cap = cfg.checkpoint.binaryBufferCap	1	Bounds local shard binary custody and can cause intake rejection	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-SHARD-004	NAKAMOTO_HOCON_CONSENSUS	NAKAMOTO_SHARD_STAIRCASE_DELTA_SLOTS	modules/node-shared/src/main/resources/application.conf:516	NAKAMOTO_SHARD_STAIRCASE_DELTA_SLOTS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1637	staircaseDeltaSlots = deps.shardingConfig.checkpoint.staircaseDeltaSlots	1	Changes which execution-committee operator has producer duty	ROOTED_CONSENSUS_PARAMETER_OBJECT	OPEN_CONSENSUS_AUTHORITY
CFG-QOS-011	NAKAMOTO_HOCON_QOS	NAKAMOTO_SHARD_BOOT_GRACE_SLOTS	modules/node-shared/src/main/resources/application.conf:524	NAKAMOTO_SHARD_BOOT_GRACE_SLOTS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1858	shardBootGraceSlots = shardAcceptanceDeps.map	1	Suppresses only local shard production during startup	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-012	NAKAMOTO_HOCON_QOS	NAKAMOTO_SHARD_REPUBLISH_EVERY_TICKS	modules/node-shared/src/main/resources/application.conf:533	NAKAMOTO_SHARD_REPUBLISH_EVERY_TICKS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1690	republishEveryTicks = deps.shardingConfig.checkpoint.republishEveryTicks	1	Changes local held-checkpoint republication cadence	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-013	NAKAMOTO_HOCON_QOS	NAKAMOTO_SHARD_STUCK_MS	modules/node-shared/src/main/resources/application.conf:539	NAKAMOTO_SHARD_STUCK_MS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala:1571	>= cfg.stuckMs	1	Changes when a node pulls a missing shard checkpoint	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-014	NAKAMOTO_HOCON_QOS	NAKAMOTO_SHARD_ABSENCE_TICK_INTERVAL_MS	modules/node-shared/src/main/resources/application.conf:541	NAKAMOTO_SHARD_ABSENCE_TICK_INTERVAL_MS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSyncDaemon.scala:1555	cfg.absenceTickIntervalMs.millis	1	Changes missing-checkpoint detection cadence	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-015	NAKAMOTO_HOCON_QOS	NAKAMOTO_SHARD_PULL_DEDUP_COOLDOWN_MS	modules/node-shared/src/main/resources/application.conf:543	NAKAMOTO_SHARD_PULL_DEDUP_COOLDOWN_MS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:2173	deps.shardingConfig.checkpoint.pullDedupCooldownMs	1	Changes local shard recovery request suppression	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-SLASH-001	NAKAMOTO_HOCON_ECONOMICS	NAKAMOTO_WATCHTOWER_ENABLED	modules/node-shared/src/main/resources/application.conf:560	NAKAMOTO_WATCHTOWER_ENABLED	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1780	sharedCfg.nakamoto.invaliditySlashing.watchtowerEnabled	1	False locally disables fraud-proof emission and the slash sink; target removes the kill switch and mandates positive assigned watchtower replay before inclusion	ACTIVE_ERA_PROTOCOL_RULE	OPEN_ROOT_AUTHORITY
CFG-SLASH-002	NAKAMOTO_HOCON_ECONOMICS	NAKAMOTO_INVALIDITY_SLASH_FRACTION	modules/node-shared/src/main/resources/application.conf:566	NAKAMOTO_INVALIDITY_SLASH_FRACTION	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/GlobalSnapshotAcceptanceManager.scala:420	slashFraction = config.slashFraction	1	Changes rooted principal destruction	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
CFG-SLASH-003	NAKAMOTO_HOCON_ECONOMICS	NAKAMOTO_INVALIDITY_BOUNTY_FRACTION	modules/node-shared/src/main/resources/application.conf:572	NAKAMOTO_INVALIDITY_BOUNTY_FRACTION	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/GlobalSnapshotAcceptanceManager.scala:421	bountyFraction = config.bountyFraction	1	Changes rooted bounty and burn allocation	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
CFG-SLASH-004	NAKAMOTO_HOCON_ECONOMICS	NAKAMOTO_INVALIDITY_COOLDOWN_EPOCHS	modules/node-shared/src/main/resources/application.conf:577	NAKAMOTO_INVALIDITY_COOLDOWN_EPOCHS	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/GlobalSnapshotAcceptanceManager.scala:422	cooldownEpochs = config.cooldownEpochs	1	Changes rooted committee-exclusion horizon	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
CFG-QOS-016	NAKAMOTO_HOCON_QOS	NAKAMOTO_FRAUD_PROOF_PUBLISH_ATTEMPTS	modules/node-shared/src/main/resources/application.conf:586	NAKAMOTO_FRAUD_PROOF_PUBLISH_ATTEMPTS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1794	publishAttempts = sharedCfg.nakamoto.invaliditySlashing.fraudProofPublishAttempts	1	Changes local fraud-proof publication retries	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-QOS-017	NAKAMOTO_HOCON_QOS	NAKAMOTO_FRAUD_PROOF_PUBLISH_RETRY_DELAY	modules/node-shared/src/main/resources/application.conf:588	NAKAMOTO_FRAUD_PROOF_PUBLISH_RETRY_DELAY	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala:1795	publishRetryDelay = sharedCfg.nakamoto.invaliditySlashing.fraudProofPublishRetryDelay	1	Changes local fraud-proof retry delay	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-ENV-001	DIRECT_NAKAMOTO_ENV	NAKAMOTO_COMMITTEE_GATE_TIMEOUT_MS	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala:118	NAKAMOTO_COMMITTEE_GATE_TIMEOUT_MS	2	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala:492	deadlineMs = startMs + gateTimeoutMs	1	Changes whether the sender waits long enough to forward an admitted binary	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-ENV-002	DIRECT_NAKAMOTO_ENV	NAKAMOTO_COMMITTEE_GATE_POLL_INTERVAL_MS	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala:124	NAKAMOTO_COMMITTEE_GATE_POLL_INTERVAL_MS	2	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala:521	Temporal[F].sleep(pollIntervalMs.millis)	1	Changes local admission polling cadence	LOCAL_QOS	LOCAL_QOS_ONLY
CFG-ENV-003	DIRECT_NAKAMOTO_ENV	NAKAMOTO_OPTIMISTIC_MIN_FRACTION	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/StakeRegistry.scala:104	NAKAMOTO_OPTIMISTIC_MIN_FRACTION	3	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/StakeRegistry.scala:313	activeStakeFraction >= MinActiveQuorumFraction	2	Changes non-authoritative optimistic weight fallback using Double-derived policy	ROOTED_FINALITY_EVIDENCE_PARAMETER	DARK_TELEMETRY
CFG-ENV-004	DIRECT_NAKAMOTO_ENV	NAKAMOTO_ATTESTATION_THRESHOLD	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/TipTracker.scala:98	NAKAMOTO_ATTESTATION_THRESHOLD	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/SnapshotLeaderLoop.scala:1047	TWeightTrigger.make[F](tipTracker, TipTracker.FinalityThreshold)	1	Changes dark T-weight and T-count telemetry but not the live depth-k1 Phase-2 sink	ROOTED_FINALITY_EVIDENCE_PARAMETER	DARK_TELEMETRY
CFG-ENV-005	DIRECT_NAKAMOTO_ENV	NAKAMOTO_MAX_ATTESTATION_SKEW_MS	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/TipTracker.scala:116	NAKAMOTO_MAX_ATTESTATION_SKEW_MS	2	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/TipTracker.scala:143	if (skew > MaxAttestationSkewMs)	1	Changes receiver-local acceptance of retired dark T-count attestations using wall clock; target removes attestedAt and this skew field from finality evidence	REMOVE_UNUSED	DARK_TELEMETRY
CFG-ENV-006	DIRECT_NAKAMOTO_ENV	NAKAMOTO_REBOOTSTRAP_REFUSE_THRESHOLD	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/RebootstrapOrchestrator.scala:82	NAKAMOTO_REBOOTSTRAP_REFUSE_THRESHOLD	2	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/RebootstrapOrchestrator.scala:151	refuseCount < threshold	2	Changes when the current unsafe receiver-local finality and state reset path triggers	LOCAL_RECOVERY_POLICY	OPEN_RECOVERY_AUTHORITY
CFG-ENV-007	DIRECT_NAKAMOTO_ENV	NAKAMOTO_REBOOTSTRAP_COOLDOWN_MS	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/RebootstrapOrchestrator.scala:92	NAKAMOTO_REBOOTSTRAP_COOLDOWN_MS	2	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/RebootstrapOrchestrator.scala:154	(nowMs - t) < cooldownMs	1	Changes wall-clock suppression of the current unsafe receiver-local finality and state reset path	LOCAL_RECOVERY_POLICY	OPEN_RECOVERY_AUTHORITY
CFG-ENV-008	DIRECT_NAKAMOTO_ENV	NAKAMOTO_REBOOTSTRAP_TICK_MS	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/RebootstrapOrchestrator.scala:101	NAKAMOTO_REBOOTSTRAP_TICK_MS	1	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/RebootstrapOrchestrator.scala:159	TickIntervalMs	4	Changes receiver-local recovery observation cadence	LOCAL_RECOVERY_POLICY	LOCAL_QOS_ONLY
CFG-ECO-001	ECONOMIC_POLICY_HOCON	max-state-channel-snapshot-binary-size-in-bytes	modules/node-shared/src/main/resources/application.conf:43	max-state-channel-snapshot-binary-size-in-bytes = 512000	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/statechannel/StateChannelValidator.scala:141	val isWithinLimit = actualSize <= maxBinarySizeInBytes	1	Changes which metagraph binaries GL0 accepts	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
CFG-ECO-002	ECONOMIC_POLICY_HOCON	fee-configs	modules/node-shared/src/main/resources/application.conf:96	fee-configs {	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/statechannel/StateChannelValidator.scala:155	feeCalculator.calculateRecommendedFee	1	Changes minimum accepted state-channel fees	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
CFG-ECO-003	ECONOMIC_POLICY_HOCON	addresses.locked	modules/node-shared/src/main/resources/application.conf:132	locked: [	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/transaction/TransactionValidator.scala:66	if (lockedAddresses.contains(signedTx.value.source))	1	Changes whether otherwise authorized transfers are accepted	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
CFG-ECO-004	ECONOMIC_POLICY_HOCON	allow-spends.last-valid-epoch-progress	modules/node-shared/src/main/resources/application.conf:144	last-valid-epoch-progress: {	1	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/swap/ContextualAllowSpendValidator.scala:106	allowSpendsConfig.lastValidEpochProgress.min	1	Changes accepted allow-spend expiry windows	ROOTED_ECONOMIC_POLICY	OPEN_ROOT_AUTHORITY
