id	status	subsystem	kind	source	expected_count	negative_source	negative_anchor	qualification_source	qualification_anchor	required_zero_effects	limitation
KSEM-GL0-011	FROZEN_GENESIS	GL0 snapshot receiver	leader-vrf-verify	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/NakamotoSnapshotValidator.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/CatchUpVerificationSuite.scala	GL0 leader identity accepts only the producer's preregistered atomic KES+VRF pair	Draw|Replay|Store|Adopt|Publish	The verifier receives a frozen resolved pair; exact-parent runtime history is not qualified.
KSEM-GL0-012	FROZEN_GENESIS	GL0 snapshot producer	active-pair-kes-step	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/SnapshotLeaderLoop.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	current-registry signing never promotes a runtime record without exact historical resolution	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	current-registry signing never promotes a runtime record without exact historical resolution	Draw|PossessionProof|KesSign|Publish	Tree-step comparison is not qualified for reorg-aware runtime bundle selection.
KSEM-GL0-013	FROZEN_GENESIS	GL0 KES verifier	active-pair-kes-step	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerification.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	runtime-offset pair is rejected by the current-view verifier even after its claimed activation	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	runtime-offset pair is rejected by the current-view verifier even after its claimed activation	Store|Adopt	Derived step is period-zero contained and is not qualified for historical rotation.
KSEM-GL0-014	FROZEN_GENESIS	GL0 KES verifier	active-pair-validity	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerification.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	runtime-offset pair is rejected by the current-view verifier even after its claimed activation	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	runtime-offset pair is rejected by the current-view verifier even after its claimed activation	Store|Adopt	Structural pair validity is not qualified as canonical historical inclusion.
KSEM-GL0-015	FROZEN_GENESIS	GL0 local key startup	local-key-material-load	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	missing secure-store KES material fails closed and never generates a replacement	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	missing secure-store KES material fails closed and never generates a replacement	Draw|PossessionProof|KesSign|Publish	Startup compares a frozen pair; scheduled runtime secret bundles are not qualified.
KSEM-GL0-016	FROZEN_GENESIS	GL0 shared KES signing adapter	local-resolved-signing-capability	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	current-registry signing never promotes a runtime record without exact historical resolution	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	current-registry signing never promotes a runtime record without exact historical resolution	Draw|PossessionProof|KesSign|Publish	The shared admission and shard signer adapter is not qualified for historical local-bundle selection.
KSEM-GL0-017	FROZEN_GENESIS	GL0 admission KES verifier adapter	admission-kes-by-step-verify	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala	1	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	metagraph admission KES-by-step is fail-closed when the operator is not registered	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/KesGossipVerificationSuite.scala	metagraph admission KES-by-step is fail-closed when the operator is not registered	AggregatorRecord|Store|Adopt	Wire step comparison uses a frozen pair and is not qualified for branch-historical rotation.
KSEM-GL0-018	FROZEN_GENESIS	GL0 admission and shard local VRF adapters	local-vrf-derive	modules/dag-l0/src/main/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/GlobalSnapshotConsensus.scala	3	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	locally derived VRF key whose bytes differ from the preregistered pair is rejected	modules/dag-l0/src/test/scala/io/constellationnetwork/dag/l0/infrastructure/snapshot/nakamoto/LocalOperatorKeyPairGateSuite.scala	locally derived VRF key whose bytes differ from the preregistered pair is rejected	Draw|PossessionProof|KesSign|Publish	Long-term-key derivation is frozen-genesis compatibility and is not qualified as a runtime VRF secret lifecycle.
KSEM-ADMIT-001	FROZEN_GENESIS	Metagraph admission sender and receiver	active-pair-resolve	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala	2	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	receiver rejects a valid proof under an unregistered in-band VRF key	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	receiver rejects a valid proof under an unregistered in-band VRF key	AggregatorRecord|Store|Adopt	Exact Phase-2 eta is supplied by the caller but runtime key history is not qualified.
KSEM-ADMIT-002	FROZEN_GENESIS	Metagraph admission sender	admission-vrf-draw	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	sender does not self-count when its local VRF key differs from registration	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	sender does not self-count when its local VRF key differs from registration	Draw|PossessionProof|KesSign|EdSign|AggregatorRecord|Publish	The secret-key draw is gated by frozen genesis and is not qualified for runtime rotations.
KSEM-ADMIT-003	FROZEN_GENESIS	Metagraph admission sender and receiver	admission-vrf-verify	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala	2	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	receiver rejects key grinding when the in-band VRF key differs from registration	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	receiver rejects key grinding when the in-band VRF key differs from registration	AggregatorRecord|Store|Adopt	Proof comparison uses the frozen pair and is not qualified against branch-historical runtime state.
KSEM-ADMIT-004	FROZEN_GENESIS	Metagraph admission sender	kes-sign	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	sender never publishes or self-counts before its complete KES/Ed25519/VRF evidence verifies locally	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	sender never publishes or self-counts before its complete KES/Ed25519/VRF evidence verifies locally	AggregatorRecord|Publish	The signer abstraction is not qualified for exact-record local secret selection.
KSEM-ADMIT-005	FROZEN_GENESIS	Metagraph admission receiver	kes-verify	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGate.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	(e) receiver rejects the seven-empty-field KES container without raising or recording	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/MetagraphCommitteeGateSuite.scala	(e) receiver rejects the seven-empty-field KES container without raising or recording	AggregatorRecord|Store|Adopt	The verifier is not qualified for branch-historical runtime activation.
KSEM-ADMIT-006	FAIL_CLOSED_SCAFFOLD	Metagraph admission slashing	admission-vrf-verify	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/SlashableEvidenceValidator.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/SlashableEvidenceValidatorSuite.scala	step 6: evidence-carried VRF key is never authority	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/SlashableEvidenceValidatorSuite.scala	step 6: evidence-carried VRF key is never authority	Slash	Exact offence-parent production resolution is unavailable, so the path is not qualified to slash.
KSEM-ADMIT-007	FAIL_CLOSED_SCAFFOLD	Metagraph admission slashing	slashing-key-resolve	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/SlashableEvidenceValidator.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/SlashableEvidenceValidatorSuite.scala	historical pair: not-yet-active registration is unverifiable and never guilt	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/domain/nakamoto/slashing/SlashableEvidenceValidatorSuite.scala	historical pair: not-yet-active registration is unverifiable and never guilt	Slash	Resolver capability shape exists but production history is not qualified and must remain unverifiable.
KSEM-EXEC-001	FROZEN_GENESIS	Execution committee draw	active-pair-resolve	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiring.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiringSuite.scala	committeeFor: an operator with NO registered KES+VRF pair is never sortitioned in	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiringSuite.scala	committeeFor: an operator with NO registered KES+VRF pair is never sortitioned in	Draw	Seedlist intersection and frozen genesis are not qualified as the canonical delayed permissionless roster.
KSEM-EXEC-002	FROZEN_GENESIS	Execution committee draw	execution-vk-draw	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiring.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiringSuite.scala	committeeFor: current-view lookup rejects a runtime pair before and after its effective period	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointWiringSuite.scala	committeeFor: current-view lookup rejects a runtime pair before and after its effective period	Draw	Public VK-hash draw uses frozen keys; exact Phase-2 anchor and runtime history are not qualified.
KSEM-EXEC-003	FROZEN_GENESIS	Shard checkpoint producer	active-pair-resolve	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducer.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	PossessionProof|Replay|KesSign|EdSign|Publish	Producer identity is frozen-genesis and is not qualified for runtime rotation or exact Phase-2 key context.
KSEM-EXEC-004	FROZEN_GENESIS	Shard checkpoint producer	shard-possession-prove	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducer.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	PossessionProof|Replay|KesSign|EdSign|Publish	Possession proof is reached through a frozen local-pair gate and is not qualified historically.
KSEM-EXEC-005	FROZEN_GENESIS	Shard checkpoint producer	shard-duty-order	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducer.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	PossessionProof|Replay|KesSign|EdSign|Publish	Duty consumes a frozen-genesis committee; the exact historical committee is not qualified.
KSEM-EXEC-006	FROZEN_GENESIS	Shard checkpoint producer	shard-duty-select	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducer.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	PossessionProof|Replay|KesSign|EdSign|Publish	Staircase selection is deterministic but its historical population is not qualified.
KSEM-EXEC-007	FROZEN_GENESIS	Shard checkpoint producer	kes-sign	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducer.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointProducerSuite.scala	missing or mismatched registered VRF identity has zero proof, derivation, signature, and publish effects	PossessionProof|Replay|KesSign|EdSign|Publish	KES signing is frozen-genesis and is not qualified for exact-record local secret selection.
KSEM-EXEC-008	FROZEN_GENESIS	Execution checkpoint attester	active-pair-resolve	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitter.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	EtaLookup|PossessionProof|KesSign|EdSign|TrackerRecord|Publish	Replay capability is enforced, but runtime identity history is not qualified.
KSEM-EXEC-009	FROZEN_GENESIS	Execution checkpoint attester	shard-possession-prove	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitter.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	EtaLookup|PossessionProof|KesSign|EdSign|TrackerRecord|Publish	Possession proof is frozen-genesis and is not qualified against an exact Phase-2 anchor.
KSEM-EXEC-010	FROZEN_GENESIS	Execution checkpoint attester	kes-sign	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitter.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	EtaLookup|PossessionProof|KesSign|EdSign|TrackerRecord|Publish	KES signing is not qualified for runtime exact-record local secret selection.
KSEM-EXEC-011	FROZEN_GENESIS	Execution checkpoint attester	checkpoint-certificate-local-verify	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitter.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	reject: an unverified local execution signature is neither recorded nor published	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	reject: an unverified local execution signature is neither recorded nor published	TrackerRecord|Publish	Local certificate verification is frozen-genesis and is not qualified for historical rotation.
KSEM-EXEC-012	FROZEN_GENESIS	Shard possession helper	shard-possession-prove	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/sharding/ShardSlotLeader.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/sharding/ShardCheckpointAttestationEmitterSuite.scala	missing or mismatched registered VRF identity has zero proof, signature, record, and publish effects	PossessionProof	The helper intentionally accepts raw secret bytes; caller historical gating is not qualified by this helper.
KSEM-EXEC-013	FROZEN_GENESIS	Shard duty helper	shard-duty-order	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/sharding/ShardSlotLeader.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManagerSuite.scala	off-duty retained producer is rejected before replay even with a colluding execution quorum	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManagerSuite.scala	off-duty retained producer is rejected before replay even with a colluding execution quorum	Draw|Replay|Store|Adopt|Slash	Pure ordering is correct only for its supplied population; historical population authority is not qualified.
KSEM-EXEC-014	FROZEN_GENESIS	Shard duty receiver	shard-duty-order	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/sharding/ShardCheckpointProducerDutyValidator.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManagerSuite.scala	off-duty retained producer is rejected before replay even with a colluding execution quorum	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManagerSuite.scala	off-duty retained producer is rejected before replay even with a colluding execution quorum	Draw|Replay|Store|Adopt|Slash	Receiver-local retained parent and frozen committee inputs are not qualified as portable historical evidence.
KSEM-EXEC-015	FROZEN_GENESIS	Shard duty receiver	shard-duty-select	modules/node-shared/src/main/scala/io/constellationnetwork/node/shared/domain/nakamoto/sharding/ShardCheckpointProducerDutyValidator.scala	1	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManagerSuite.scala	off-duty retained producer is rejected before replay even with a colluding execution quorum	modules/node-shared/src/test/scala/io/constellationnetwork/node/shared/infrastructure/snapshot/managers/global/ShardCheckpointGl0AcceptanceManagerSuite.scala	off-duty retained producer is rejected before replay even with a colluding execution quorum	Draw|Replay|Store|Adopt|Slash	Duty validation is not qualified against portable exact-parent evidence.
